Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.73, AvgRadius: 9.86, MaxRadius: 10.15, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.34, AvgRadius: 9.91, MaxRadius: 10.22, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.20, AvgRadius: 9.90, MaxRadius: 10.29, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.29, AvgRadius: 9.92, MaxRadius: 10.22, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.67, AvgRadius: 9.93, MaxRadius: 10.29, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.46, AvgRadius: 9.87, MaxRadius: 10.15, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.61, AvgRadius: 9.89, MaxRadius: 10.23, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.68, AvgRadius: 9.91, MaxRadius: 10.30, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.47, AvgRadius: 9.89, MaxRadius: 10.24, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.70, AvgRadius: 9.90, MaxRadius: 10.19, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.63, AvgRadius: 9.90, MaxRadius: 10.21, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.02, AvgRadius: 9.85, MaxRadius: 10.27, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.65, AvgRadius: 9.87, MaxRadius: 10.18, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.65, AvgRadius: 9.86, MaxRadius: 10.20, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.64, AvgRadius: 9.92, MaxRadius: 10.16, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.67, AvgRadius: 9.84, MaxRadius: 10.23, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.68, AvgRadius: 9.88, MaxRadius: 10.25, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.67, AvgRadius: 9.89, MaxRadius: 10.19, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.67, AvgRadius: 9.90, MaxRadius: 10.31, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.60, AvgRadius: 9.92, MaxRadius: 10.25, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.74, AvgRadius: 9.89, MaxRadius: 10.23, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.62, AvgRadius: 9.85, MaxRadius: 10.20, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.69, AvgRadius: 9.91, MaxRadius: 10.23, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.00, AvgRadius: 9.92, MaxRadius: 10.54, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.42, AvgRadius: 9.92, MaxRadius: 10.23, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 8.98, AvgRadius: 9.89, MaxRadius: 10.30, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.63, AvgRadius: 9.93, MaxRadius: 10.29, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.23, AvgRadius: 9.90, MaxRadius: 10.29, ViolationRate: 0.0%
Nodes: 1000000, Clusters: 50, DM_Build_s: -1.00, Clustering_s: 9.70, AvgRadius: 9.91, MaxRadius: 10.17, ViolationRate: 0.0%
